Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@revistavoto,mídia,2,5,3,6,,,10,,8,3,1,,2,,1,5,,5,14,,,1,12,3,,,,2,,3,84
@freire_roberto,deputado,16,6,1,5,,,13,,3,9,2,2,1,,,3,,5,20,,,1,4,4,,1,,,,4,84
@TVBrasil,mídia,-24,4,1,1,,1,7,,4,2,3,,2,,,4,,7,5,1,,3,29,4,,,1,,,4,83
@portalbrasil,"Instituição, partido, empresa",-27,1,3,,,1,10,,7,3,3,,2,,1,1,,6,4,1,,1,31,3,,,2,,,3,83
@Aloysio_Nunes,político,29,7,,2,,,10,,4,3,2,2,1,,,2,,9,31,,1,,2,4,,,,,,3,83
@avozdobrasil,mídia,-19,2,4,2,,,9,,5,4,2,1,3,,1,2,1,6,4,1,1,2,23,4,,,2,1,,3,83
@joseagripino,político,15,14,,2,,,9,1,8,2,1,,3,,,3,,11,17,,,,2,3,,,1,1,,4,82
@ipeaonline,"Instituição, partido, empresa",-15,3,3,,,,10,,1,3,1,,1,,1,3,,3,11,1,,2,26,3,,1,2,2,,2,79
@aldorebelo,político,-7,5,8,2,,1,12,,4,1,2,,2,,1,5,,10,5,,,,12,5,,,,1,,3,79
@revistapiaui,mídia,-5,5,1,2,,,8,1,5,2,2,,1,,1,4,,4,12,1,,3,17,3,,,2,1,,3,78
@MartaSuplicy_,político,-24,,5,3,,,11,,3,1,1,,1,,1,5,,5,5,,1,2,29,4,,,,,,1,78
@gabeiracombr,político,-2,6,2,3,,,5,,2,3,5,,,,1,4,,5,14,,,1,16,3,,,,2,,6,78
@agenciabrasil,mídia,-21,1,4,3,,1,5,,4,3,2,,,,,4,,7,8,1,,2,29,3,,,1,,,,78
@Arturvneto,político,26,8,1,2,,,6,1,4,3,2,,1,1,,3,,9,28,,,,2,1,,1,,1,,4,78
@tvrecord,mídia,-3,4,,2,,,7,,3,2,4,7,1,,,2,,5,12,1,1,,15,4,1,,2,,,4,77
@TSEjusbr,"Instituição, partido, empresa",-5,6,2,4,,,11,,4,2,3,,2,,,4,,5,9,1,,2,14,4,,,1,,,3,77
@RedeGlobo,mídia,7,7,1,1,,,9,,5,4,5,1,5,,,2,,5,14,1,,,7,5,1,1,,,,3,77
@tarsogenro,político,-31,,4,4,,,8,,5,,1,,,,1,5,,3,4,,1,1,35,2,,1,,,,2,77
@g1brasil,mídia,-6,3,,1,,1,8,,6,4,1,1,3,1,,4,,5,10,,1,,16,3,1,,2,1,,5,77
@painelbrasiltv,mídia,-5,5,2,3,,1,9,,4,2,3,1,1,,1,3,1,7,9,,,2,14,4,,,,1,,3,76
@Rede45,"Instituição, partido, empresa",42,9,,1,,,4,,2,3,1,,,,,2,,3,43,,,,1,3,,,,,,3,75
@bandjornalismo,mídia,-2,2,,5,,,8,1,7,2,3,2,2,,1,7,,7,7,,,2,9,4,,1,1,,,4,75
@twibbon,"Instituição, partido, empresa",-4,6,4,,1,,6,1,2,,3,3,3,,1,1,,8,10,,,3,14,1,,1,1,1,,4,74
@tijolaco,mídia,-29,1,4,8,,,9,,3,,2,,2,,1,2,,2,2,,1,4,31,,,,,,,2,74
